Preference,Region,Places.Available,Description,ENT,CTX,GSX,OMFS,PAED,PLA,TO,URO,VAS,BRE,ICM
East Midlands - North - CT1 - Aug - 4,Health Education England East Midlands,1,ENT4 Theme - ENT; August 23 (4 months) Nottingham - Plastic Surgery/December 23 (4 months) Lincoln - General Surgery/April 24 (4 months) Nottingham - Cardiothoracic/Aug 24 (12 months) Nottingham - ENT,1,1,1,0,0,1,0,0,0,0,0
East Midlands - North - CT1 - Aug - 5,Health Education England East Midlands,1,GENERAL1 Theme - GENERAL SURGERY; August 23 (4 months) Nottingham - Cardiothoracic /December 23 (4 months) Nottingham - Plastic Surgery /April 24 (4 months)  Lincoln - General Surgery /August 24 (12 months) Derby - General Surgery,0,1,1,0,0,1,0,0,0,0,0
East Midlands - North - CT1 - Aug - 6,Health Education England East Midlands,1,GENERAL2 Theme - GENERAL SURGERY; August 23 (4 months) Lincoln  - General Surgery /December 23 (4 months)  Lincoln - General Surgery /April 24 (4 months)  Lincoln - General Surgery /August 24 (12 months) Nottingham - General Surgery,0,0,1,0,0,0,0,0,0,0,0
East Midlands - North - CT1 - Aug - 7,Health Education England East Midlands,1,GENERAL3 Theme - GENERAL SURGERY; August 23 (4 months) Chesterfield - General Surgery /December 23 (4 months)  Chesterfield - General Surgery /April 24 (4 months)  Derby - General Surgery /August 24 (12 months) Nottingham - General Surgery,0,0,1,0,0,0,0,0,0,0,0
East Midlands - North - CT1 - Aug - 8,Health Education England East Midlands,1,GENERAL4 Theme - GENERAL SURGERY; August 23 (4 months) Kings Mill - General Surgery /December 23 (4 months)  Kings Mill - General Surgery /April 24 (4 months)  Chesterfield - General Surgery /August 24 (12 months) Nottingham - General Surgery,0,0,1,0,0,0,0,0,0,0,0
East Midlands - North - CT1 - Aug - 9,Health Education England East Midlands,1,GENERAL5 Theme - GENERAL SURGERY; August 23 (4 months) Chesterfield - General Surgery /December 23 (4 months)  Derby - General Surgery /April 24 (4 months)  Derby - General Surgery /August 24 (12 months) Nottingham - General Surgery,0,0,1,0,0,0,0,0,0,0,0
East Midlands - South - CT1 - Aug - 23,Health Education England East Midlands,1,UR1-3 Theme - UROLOGY; August 23 (4 months) Northampton General Hospital - Urology /December 23 (4 months) Glenfield Hospital - General Surgery /April 24 (4 months) Glenfield Hospital - General Surgery,0,0,1,0,0,0,0,1,0,0,0
East Midlands - South - CT1 - Aug - 24,Health Education England East Midlands,1,UR1-3 Theme - UROLOGY; August 23 (4 months) Glenfield Hospital - General Surgery /December 23 (4 months) Glenfield Hospital - General Surgery /April 24 (4 months) Northampton General Hospital - Urology,0,0,1,0,0,0,0,1,0,0,0
East Midlands - South - CT1 - Aug - 25,Health Education England East Midlands,1,UR1-3 Theme - UROLOGY; August 23 (4 months) Glenfield Hospital - General Surgery /December 23 (4 months) Northampton General Hospital - Urology/April 24 (4 months) Glenfield Hospital - General Surgery,0,0,1,0,0,0,0,1,0,0,0
East Midlands - South - CT1 - Aug - 26,Health Education England East Midlands,1,T1-3 Theme - TRAUMA AND ORTHOPAEDICS; August 23 (4 months) Leicester Royal Infirmary - T&O /December 23 (4 months) Leicester Royal Infirmary - Plastic Surgery /April 24 (4 months) Leicester Royal Infirmary - Plastic Surgery,0,0,0,0,0,1,1,0,0,0,0
East Midlands - South - CT1 - Aug - 27,Health Education England East Midlands,1,T1-3 Theme - TRAUMA AND ORTHOPAEDICS; August 23 (4 months) Leicester Royal Infirmary - Plastic Surgery/December 23 (4 months) Leicester Royal Infirmary - Plastic Surgery /April 24 (4 months) Leicester Royal Infirmary - T&O,0,0,0,0,0,1,1,0,0,0,0
East Midlands - South - CT1 - Aug - 28,Health Education England East Midlands,1,T4-6 Theme - TRAUMA AND ORTHOPAEDICS; August 23 (4 months) Northampton General Hospital - T&O /December 23 (4 months) Kettering General Hospital - T&O/April 24 (4 months) Kettering General Hospital - General Surgery,0,0,1,0,0,0,1,0,0,0,0
East Midlands - South - CT1 - Aug - 29,Health Education England East Midlands,1,T4-6Theme - TRAUMA AND ORTHOPAEDICS; August 23 (4 months) Kettering General Hospital - T&O /December 23 (4 months) Kettering General Hospital - General Surgery/April 24 (4 months) Northampton General Hospital - T&O,0,0,1,0,0,0,1,0,0,0,0
East Midlands - South - CT1 - Aug - 30,Health Education England East Midlands,1,T4-6 Theme - TRAUMA AND ORTHOPAEDICS; August 23 (4 months) Kettering General Hospital - General Surgery /December 23 (4 months) Northampton General Hospital - T&O/April 24 (4 months) Kettering General Hospital - T&O,0,0,1,0,0,0,1,0,0,0,0
East Midlands - South - CT1 - Aug - 31,Health Education England East Midlands,1,ENT1-3 Theme - ENT; August 23 (4 months) Leicester Royal Infirmary - ENT /December 23 (4 months) Leicester Royal Infirmary - Plastic Surgery /April 24 (4 months) Glenfield Hospital - Cardiothoracic Surgery,1,1,0,0,0,1,0,0,0,0,0
East Midlands - South - CT1 - Aug - 32,Health Education England East Midlands,1,ENT1-3 Theme - ENT; August 23 (4 months) Leicester Royal Infirmary - Plastic Surgery /December 23 (4 months) Glenfield Hospital - Cardiothoracic Surgery /April 24 (4 months) Leicester Royal Infirmary - ENT,1,1,0,0,0,1,0,0,0,0,0
East Midlands - South - CT1 - Aug - 33,Health Education England East Midlands,1,ENT1-3 Theme - ENT; August 23 (4 months) Glenfield Hospital - Cardiothoracic Surgery /December 23 (4 months) Leicester Royal Infirmary- ENT /April 24 (4 months) Leicester Royal Infirmary - Plastic Surgery,1,1,0,0,0,1,0,0,0,0,0
East Midlands - South - CT1 - Aug - 34,Health Education England East Midlands,1,G1-3 Theme - GENERAL SURGERY; August 23 (4 months) Leicester Royal Infirmary - General Surgery /December 23 (4 months) Glenfield Hospital - Vascular Surgery /April 24 (4 months) Leicester Royal Infirmary- T&O,0,0,1,0,0,0,1,0,1,0,0
East Midlands - South - CT1 - Aug - 35,Health Education England East Midlands,1,G1-3 Theme - GENERAL SURGERY; August 23 (4 months) Glenfield Hospital - Vascular Surgery/December 23 (4 months) Leicester Royal Infirmary - T&O /April 24 (4 months) Leicester Royal Infirmary - General Surgery,0,0,1,0,0,0,1,0,1,0,0
East Midlands - South - CT1 - Aug - 36,Health Education England East Midlands,1,G4-6 Theme - GENERAL SURGERY; August 23 (4 months) Northampton General Hospital - General Surgery /December 23 (4 months) Northampton General Hospital - T&O /April 24 (4 months) Northampton General Hospital - General Surgery,0,0,1,0,0,0,1,0,0,0,0
East Midlands - South - CT1 - Aug - 37,Health Education England East Midlands,1,G4-6 Theme - GENERAL SURGERY; August 23 (4 months) Northampton General Hospital - T&O /December 23 (4 months) Northampton General Hospital - General Surgery /April 24 (4 months) Northampton General Hospital - General Surgery,0,0,1,0,0,0,1,0,0,0,0
East Midlands - South - CT1 - Aug - 38,Health Education England East Midlands,1,G4-6 Theme - GENERAL SURGERY; August 23 (4 months) Northampton General Hospital - General Surgery /December 23 (4 months) Northampton General Hospital - General Surgery /April 24 (4 months) Northampton General Hospital - T&O,0,0,1,0,0,0,1,0,0,0,0
East of England - Basildon - 01,Health Education England East of England,1,Rotation to commence in Basildon Hospital.  CT1: 6 months General Surgery followed by 6 months Trauma & Orthopaedics; CT2: 12 months Trauma & Orthopaedics at Basildon Hospital.  Please note rotations subject to change.,0,0,1,0,0,0,1,0,0,0,0
East of England - Basildon - 02,Health Education England East of England,1,Rotation to commence in Basildon Hospital.  CT1: 6 months Trauma & Orthopaedics followed by 6 months General Surgery; CT2: 12 months Trauma & Orthopaedics at Basildon Hospital.  Please note rotations subject to change.,0,0,1,0,0,0,1,0,0,0,0
East of England - Bedford,Health Education England East of England,1,Rotation to commence in Bedford Hospital.  CT1: 12 months General Surgery; CT2: 12 months Generall Surgery.  Please note rotations subject to change.,0,0,1,0,0,0,0,0,0,0,0
East of England - Cambridge - 01,Health Education England East of England,1,"Rotation to commence in Addenbrooke's Hospital, Cambridge.  CT1: 6 months Trauma & Orthopaedics followed by 6 months General Surgery (Vascular); CT2 12 months Cardiothoracics at Royal Papworth Hospital, Cambridge.  Please note rotations subject to change.",0,1,1,0,0,0,1,0,1,0,0
East of England - Cambridge - 02,Health Education England East of England,1,"Rotation to commence in Addenbrooke's Hospital, Cambridge.  CT1: 12 months Paediatrics; CT2: 12 months Urology at Bedford Hospital.  Please note rotations subject to change.",0,0,0,0,1,0,0,1,0,0,0
East of England - Cambridge - 03,Health Education England East of England,1,"Rotation to commence in Addenbrooke's Hospital, Cambridge.  CT1: 6 months Plastic Surgery followed by 6 months Trauma & Orthopaedics; CT2: 6 months General Surgery followed by 6 months Trauma & Orthopaedics at Peterborough Hospital.  Please note rotations subject to change.",0,0,1,0,0,1,1,0,0,0,0
East of England - Cambridge - 04,Health Education England East of England,1,"Rotation to commence in Addenbrooke's Hospital, Cambridge.  CT1: 6 months Trauma & Orthopaedics followed by 6 months Plastic Surgery; CT2: 6 months Trauma & Orthopaedics followed by 6 months General Surgery at Peterborough Hospital.  Please note rotations subject to change.",0,0,1,0,0,1,1,0,0,0,0
East of England - Cambridge - 05,Health Education England East of England,1,"Rotation to commence in Addenbrooke's Hospital, Cambridge.  CT1: 12 months Trauma & Orthopaedics; CT2: 12 months General Surgery (Vascular) at Bedford Hospital.  Please note rotations subject to change.",0,0,1,0,0,0,1,0,1,0,0
East of England - Chelmsford,Health Education England East of England,1,"Rotation to commence in Broomfield Hospital, Chelmsford.  CT1: 12 months Plastic Surgery; CT2: 12 months Trauma & Orthopaedics at Addenbrooke's Hospital, Cambridge.  Please note rotations subject to change.",0,0,0,0,0,1,1,0,0,0,0
East of England - Colchester - 01,Health Education England East of England,1,"Rotation to commence in Colchester Hospital.  CT1: 6 months Urology followed by 6 months Trauma & Orthopaedics; CT2: 12 months Vascular Surgery in Addenbrooke's Hospital, Cambridge.  Please note rotations subject to change.",0,0,0,0,0,0,1,1,1,0,0
East of England - Colchester - 02,Health Education England East of England,1,Rotation to commence in Colchester Hospital.  CT1: 6 months General Surgery followed by 6 months Urology; CT2: 12 months Urology at Ipswich Hospital.  Please note rotations subject to change.,0,0,1,0,0,0,0,1,0,0,0
East of England - Colchester - 03,Health Education England East of England,1,Rotation to commence in Colchester Hospital.  CT1: 6 months Trauma & Orthopaedics followed by 6 months General Surgery; CT2: 12 months General Surgery at Ipswich Hospital. Please note rotations subject to change.,0,0,1,0,0,0,1,0,0,0,0
East of England - Colchester - 04,Health Education England East of England,1,"Rotation to commence in Colchester Hospital.  CT1: 6 months ENT followed by 6 months General Surgery (Breast); CT2: 6 months ENT followed by 6 months Plastic Surgery at Broomfield Hospital, Chelmsford.  Please note rotations subject to change.",1,0,1,0,0,1,0,0,0,1,0
East of England - Colchester - 05,Health Education England East of England,1,"Rotation to commence in Colchester Hospital.  CT1: 6 months General Surgery (Breast) followed by 6 months ENT: CT2: 6 months Plastic Surgery followed by 6 months ENT at Broomfield Hospital, Chelmsford.  Please note rotations subject to change.",1,0,1,0,0,1,0,0,0,1,0
East of England - Colchester - 06,Health Education England East of England,1,Rotation to commence in Colchester Hospital.  CT1: 12 months General Surgery (Vascular); CT2: 12 months Vascular Surgery at Colchester Hospital.  Please note rotations subject to change.,0,0,1,0,0,0,0,0,1,0,0
East of England - Gt Yarmouth - 01,Health Education England East of England,1,"Rotation to commence in James Paget Hospital, Gt Yarmouth.  CT1: 6 months Trauma & Orthopaedics followed by 6 months General Surgery (CR); CT2: 6 months Plastic Surgery followed by 6 months Trauma & Orthopaedics at Norfolk & Norwich Hospital.  Please note rotations subject to change.",0,0,1,0,0,1,1,0,0,0,0
East of England - Gt Yarmouth - 02,Health Education England East of England,1,"Rotation to commence in James Paget Hospital, Gt Yarmouth.  CT1: 6 months General Surgery (CR) followed by 6 months Trauma & Orthopaedics; CT2: 6 months Trauma & Orthopaedics followed by 6 months Plastic Surgery at Norfolk & Norwich Hospital.  Please note rotations subject to change.",0,0,1,0,0,1,1,0,0,0,0
East of England - Huntingdon - 01,Health Education England East of England,1,"Rotation to commence in  Hinchingbrooke Hospital, Huntingdon.  CT1: 6 months Urology followed by 6 months General Surgery; CT2: 12 months General Surgery at Hinchingbrooke Hospital.  Please note rotations subject to change.",0,0,1,0,0,0,0,1,0,0,0
East of England - Huntingdon - 02,Health Education England East of England,1,"Rotation to commence in Hinchingbrooke Hospital, Huntingdon.  CT1: 12 months Urology; CT2: 6 months General Surgery followed by 6 months Urology at Broomfield Hospital, Chelmsford.  Please note rotations subject to change.",0,0,1,0,0,0,0,1,0,0,0
East of England - Huntingdon - 03,Health Education England East of England,1,"Rotation to commence in Hinchingbrooke Hospital, Huntingdon.  CT1: 6 months Trauma & Orthopaedics followed by 6 months Urology; CT2: 12 months Trauma & Orthopaedics in Basildon Hospital.  Please note rotations subject to change.",0,0,0,0,0,0,1,1,0,0,0
East of England - Luton - 01,Health Education England East of England,1,"Rotation to commence in Luton & Dunstable Hospital.  CT1: 6 months ENT followed by 6 months General Surgery; CT2: 6 months ENT followed by 6 months Plastic Surgery at the Lister Hospital, Stevenage.  Please note rotations subject to change.",1,0,1,0,0,1,0,0,0,0,0
East of England - Norwich - 01,Health Education England East of England,1,"Rotation to commence in Norfolk & Norwch Hospital, Norwich.  CT1: 4 months in each HDU Thoracics, followed by Plastic Surgery and General Surgery ;  CT2: 12 months in General Surgery (Breast) at James Paget Hospital, Gt Yarmouth. Please note rotations subject to change.",0,1,1,0,0,1,0,0,0,1,0
East of England - Norwich - 02,Health Education England East of England,1,"Rotation to commence in Norfolk & Norwich Hospital, Norwich.  CT1: 4  months in each HDU Thoracics , followed by Trauma & Orthopaedics and Vascular; CT2: 12 months in Trauma & Orthopaedics at Norfolk & Norwich Hospital.   Please note rotations subject to change.",0,1,0,0,0,0,1,0,1,0,0
East of England - Norwich - 03,Health Education England East of England,1,"Rotation to commence in Norfolk & Norwich Hospital, Norwich.  CT1: 4 months each Vascular Surgery followed by HDU Thoracics and Plastic Surgery; CT2: 12 months in Vascular Surgery at Norfolk & Norwich Hospital.  Please note rotations subject to change.",0,1,0,0,0,1,0,0,1,0,0
East of England - Norwich - 04,Health Education England East of England,1,"Rotation to commence in Norfolk & Norwich Hospital, Norwich.  CT1: 4 months in each General Surgery followed by Thoracics HDU and Trauma & Orthopaedics; CT2: 12 months Trauma & Orthopaedics at Norfolk & Norwich Hospital.  Please note rotations subject to change.",0,1,1,0,0,0,1,0,0,0,0
East of England - Norwich - 05,Health Education England East of England,1,"Rotation to commence in Norfolk & Norwich Hospital, Norwich.  CT1: 4 months in each Plastic Surgery followed by General Surgery and HDU Thoracics; CT2: 12 months in Plastic Surgery at Norfolk & Norwich Hospital.  Please note rotations subject to change.",0,1,1,0,0,1,0,0,0,0,0
East of England - Norwich - 06,Health Education England East of England,1,"Rotation to commence in Norfolk & Norwich Hospital, Norwich.  CT1: 4 months in each Trauma & Orthopaedics followed by Vascular Surgery and Thoracics HDU; CT2: 12 months Trauma & Orthopaedics in Norfolk & Norwich Hospital.  Please note rotations subject to change.",0,1,0,0,0,0,1,0,1,0,0
East of England - Norwich - 07,Health Education England East of England,1,"Rotation to commence in Norfolk & Norwich Hospital, Norwich.  CT1: 6 months ENT followed by 6 months Paediatrics; CT2 in James Paget Hospital, Gt Yarmouth; 6 months ENT followed by 6 months General Surgery.  Please note rotations subject to change.",1,0,1,0,1,0,0,0,0,0,0
East of England - Norwich - 08,Health Education England East of England,1,"Rotation to commence in Norfolk & Norwich Hospital, Norwich.  CT1: 6 months Paediatrics followed by 6 months ENT; CT2 in James Paget Hospital, Gt Yarmouth; 6 months General SurgeryT followed by 6 months ENT.  Please note rotations subject to change.",1,0,1,0,1,0,0,0,0,0,0
East of England - Norwich - 09,Health Education England East of England,1,"Rotation to commence in Norfolk & Norwich Hospital, Norwich.  CT1: 6  months Urology followed by 6 months General Surgery (CR); CT2: 12 months Urology at Norfolk & Norwich Hospital.  Please note rotations subject to change.",0,0,1,0,0,0,0,1,0,0,0
East of England - Norwich - 10,Health Education England East of England,1,"Rotation to commence in Norfolk & Norwich Hospital, Norwich.  CT1: 6 months General Surgery (CR) followed by 6  months Urology; CT2 12 months General Surgery at Norfolk & Norwich Hospital.  Please note rotations subject to change.",0,0,1,0,0,0,0,1,0,0,0
East of England - Norwich - 11,Health Education England East of England,1,"Rotation to commence in Norfolk & Norwich Hospital, Norwich.  CT1: 12 months General Surgery (UGI); CT2: 12 months General Surgery at Norfolk & Norwich Hospital.  Please note rotations subject to change.",0,0,1,0,0,0,0,0,0,0,0
East of England - Peterborough -  01,Health Education England East of England,1,"Rotation to commence in Peterborough Hospital, Cambridge.  CT1: 6 months General Surgery followed by 6 months Trauma & Orthopaedics; CT2: 12 months Cardiothoracics at Royal Papworth Hospital, Cambridge.  Please note rotations subject to change.",0,1,1,0,0,0,1,0,0,0,0
East of England - Peterborough - 02,Health Education England East of England,1,"Rotation to commence in Peterborough Hospital.  CT1: 6 months General Surgery followed by 6 months Urology; CT2: 6 months General Surgery followed by 6 months Urology at West Suffolk Hospital, Bury St Edmunds.  Please note rotations subject to change.",0,0,1,0,0,0,0,1,0,0,0
East of England - Peterborough - 03,Health Education England East of England,1,"Rotation to commence in Peterborough Hospital.  CT1: 6 months Urology followed by 6 months General Surgery; CT2: 6 months Urology followed by 6 months General Surgery at West Suffolk Hospital, Bury St Edmunds.  Please note rotations subject to change.",0,0,1,0,0,0,0,1,0,0,0
East of England - Peterborough - 04,Health Education England East of England,1,"Rotation to commence in Peterborough Hospital.  CT1: 12 months Trauma & Orthopaedics; CT2: 12 months General Surgery in Hinchingbrooke Hospital, Huntingdon.  Please note rotations subject to change.",0,0,1,0,0,0,1,0,0,0,0
East of England - Southend - 01,Health Education England East of England,1,Rotation to commence in Southend Hospital.  CT1: 6 months General Surgery (CR)  followed by 6 months Urology; CT2: 6 months General Surgery (Breast) followed by General Surgery (CR) at Southend Hospital.  Please note rotations subject to change.,0,0,1,0,0,0,0,1,0,1,0
East of England - Stevenage - 01,Health Education England East of England,1,"Rotation to commence in Lister Hospital, Stevenage.  CT1: 6 months General Surgery (Vascular) followed by 6 months General Surgery (CR); CT2: 12 months Trauma & Orthopaedics at Lister Hospital. Please note rotations subject to change.",0,0,1,0,0,0,1,0,1,0,0
East of England - Stevenage - 02,Health Education England East of England,1,"Rotation to commence in Lister Hospital, Stevenage.  CT1: 6 months General Surgery (CR) followed by 6 months Urology; CT2: 12 months Urology at Lister Hospital.  Please note rotations subject to change.",0,0,1,0,0,0,0,1,0,0,0
East of England - Stevenage - 03,Health Education England East of England,1,"Rotation to commence in Lister Hospital, Stevenage.  CT1: 6 months Urology followed by 6 months General Surgery; CT2: 12 months General Surgery (CR) at Lister Hospital.  Please note rotations subject to change.",0,0,1,0,0,0,0,1,0,0,0
East of England - Stevenage - 04,Health Education England East of England,1,"Rotation to commence in Lister Hospital, Stevenage.  CT1: 12 months ENT; CT2 12 months Plastic Surgery.  Please note rotations subject to change.",1,0,0,0,0,1,0,0,0,0,0
East of England - Stevenage - 05,Health Education England East of England,1,"Rotation to commence in Lister Hospital, Stevenage.  CT1: 6 months Plastic Surgery followed by 6 months Trauma & Orthopaedics; CT2: 12 months Trauma & Orthopaedics at Lister Hospital.  Please note rotations subject to change.",0,0,0,0,0,1,1,0,0,0,0
East of England - Stevenage - 06,Health Education England East of England,1,"Rotation to commence in Lister Hospital, Stevenage.  CT1: 6 months Trauma & Orthopaedics followed by 6 months General Surgery (Vascular); CT2: 6 months General Surgery followed by 6 months Trauma & Orthopaedics at Luton & Dunstable Hospital.  Please note rotations subject to change.",0,0,1,0,0,0,1,0,1,0,0
East of England - Watford,Health Education England East of England,1,Rotation to commence in Watford Hospital.  CT1: 6 months Trauma & Orthopaedics followed by 6 months General Surgery; CT2: 12 months Trauma & Orthopaedics at Watford Hospital.  Please note rotations subject to change.,0,0,1,0,0,0,1,0,0,0,0
East of England -Southend - 02,Health Education England East of England,1,Rotation to commence in Southend Hospital.  CT1: 12 months General Surgery (CR); CT2: 6 months Urology followed by 6 months General Surgery (Breast).  Please note rotations subject to change.,0,0,1,0,0,0,0,1,0,1,0
"Kent, Surrey and Sussex - CT1 - Aug - 1","Health Education England Kent, Surrey and Sussex",1,"General Surgery Themed Programme. CT1 posts (4 month rotation): St Peters Gen Surg, St Peters T&O, St Peters Urology. CT2 posts (12 month rotation): St Peters Gen Surg.",0,0,1,0,0,0,1,1,0,0,0
"Kent, Surrey and Sussex - CT1 - Aug - 10","Health Education England Kent, Surrey and Sussex",2,"T&O Themed Programme. CT1 posts (6 month rotation): East Kent (QEQM) T&O, East Kent (QEQM) Gen Surg. CT2 posts (12 month rotation): East Kent (WHH Ashford) T&O.",0,0,1,0,0,0,1,0,0,0,0
"Kent, Surrey and Sussex - CT1 - Aug - 11","Health Education England Kent, Surrey and Sussex",1,"T&O Themed Programme. CT1 posts (6 month rotation): Conquest T&O, Conquest Gen Surg. CT2 posts (12 month rotation): Conquest T&O.",0,0,1,0,0,0,1,0,0,0,0
"Kent, Surrey and Sussex - CT1 - Aug - 12","Health Education England Kent, Surrey and Sussex",1,"T&O Themed Programme. CT1 posts (4 month rotation): St Peters T&O, St Peters Urology, St Peters Gen Surg. CT2 posts (12 month rotation): Frimley T&O.",0,0,1,0,0,0,1,1,0,0,0
"Kent, Surrey and Sussex - CT1 - Aug - 13","Health Education England Kent, Surrey and Sussex",1,"T&O Themed Programme. CT1 posts (4 month rotation): Royal Surrey T&O, Royal Surrey Urology, Royal Surrey Gen Surg. CT2 posts (12 month rotation): Royal Surrey T&O.",0,0,1,0,0,0,1,1,0,0,0
"Kent, Surrey and Sussex - CT1 - Aug - 14","Health Education England Kent, Surrey and Sussex",1,"ENT Themed Programme. CT1 posts (6 month rotation): BSUH Paed Surg, BSUH ENT (2 months at Worthing). CT2 posts (6 month rotation): QVH Plastics, Royal Surrey ENT.",1,0,0,0,0,1,0,0,0,0,0
"Kent, Surrey and Sussex - CT1 - Aug - 15","Health Education England Kent, Surrey and Sussex",1,"ENT Themed Programme. CT1 posts (6 month rotation): Maidstone & Tunbridge Wells Gen Surg, Maidstone & Tunbridge Wells ENT. ST2 posts (6 month rotation): QVH Plastics, East Kent (WHH Ashford) ENT.",1,0,1,0,0,1,0,0,0,0,0
"Kent, Surrey and Sussex - CT1 - Aug - 16","Health Education England Kent, Surrey and Sussex",1,"Urology Themed Programme. CT1 posts (6 month rotation): Frimley Urology, Frimley Gen Surg. CT2 posts (12 month rotation): BSUH Urology.",0,0,1,0,0,0,0,1,0,0,0
